A,B,C,D
9,95,71,25
77,36,39,37
71,85,79,88
44,37,29,32
52,50,6,94
38,57,73,83
60,8,0,41
56,4,20,37
10,44,94,9
79,90,38,56
67,36,97,44
62,30,54,23
12,39,17,10
63,3,39,26
65,34,79,36
89,32,18,22
54,46,88,24
64,97,39,15
25,52,85,84
66,98,84,96
6,79,93,62
2,67,58,51
68,46,86,98
5,17,46,78
96,36,27,75
95,4,63,22
62,29,50,21
63,11,59,71
94,29,72,13
6,94,66,62
61,94,44,31
89,91,51,42
37,95,14,2
5,51,73,46
16,41,37,50
62,17,59,40
35,83,16,2
58,9,29,39
27,68,57,79
37,49,80,14
64,38,76,88
16,0,17,85
76,25,25,78
36,67,56,13
42,25,6,31
29,73,0,87
69,8,41,92
17,25,26,1
61,42,45,9
28,31,89,60
98,35,69,87
11,87,34,19
12,92,80,67
69,98,90,76
66,1,53,95
31,43,40,62
35,49,5,45
60,9,94,90
28,86,70,17
60,60,1,17
23,7,34,27
22,49,51,17
28,72,59,39
89,94,78,12
79,13,77,61
92,41,0,28
73,57,85,35
87,45,49,87
8,59,72,30
23,46,17,67
97,51,21,56
52,27,88,84
98,75,2,58
33,82,61,61
94,69,79,84
53,76,39,8
44,72,40,4
49,40,34,51
59,44,40,60
77,57,58,45
27,87,51,51
92,51,27,63
50,97,76,62
31,6,16,78
99,96,48,35
56,92,92,38
3,7,12,89
76,13,37,67
33,70,47,44
0,46,77,55
37,24,35,32
58,14,9,13
10,40,48,6
99,67,37,13
87,30,21,68
51,70,27,32
1,27,96,63
0,69,96,58
35,45,79,8
19,56,56,96
